code,Value,2000-2021,2022
ADMYR,2000,2000,
ADMYR,2001,2001,
ADMYR,2002,2002,
ADMYR,2003,2003,
ADMYR,2004,2004,
ADMYR,2005,2005,
ADMYR,2006,2006,
ADMYR,2007,2007,
ADMYR,2008,2008,
ADMYR,2009,2009,
ADMYR,2010,2010,
ADMYR,2011,2011,
ADMYR,2012,2012,
ADMYR,2013,2013,
ADMYR,2014,2014,
ADMYR,2015,2015,
ADMYR,2016,2016,
ADMYR,2017,2017,
ADMYR,2018,2018,
ADMYR,2019,2019,
ADMYR,2020,2020,
ADMYR,2021,2021,
ADMYR,2022,,2022
AGE,1,12-14 Years,12-14 Years
AGE,10,50-54 Years,50-54 Years
AGE,11,55-64 Years,55-64 Years
AGE,12,65 Years And Older,65 Years And Older
AGE,2,15-17 Years,15-17 Years
AGE,3,18-20 Years,18-20 Years
AGE,4,21-24 Years,21-24 Years
AGE,5,25-29 Years,25-29 Years
AGE,6,30-34 Years,30-34 Years
AGE,7,35-39 Years,35-39 Years
AGE,8,40-44 Years,40-44 Years
AGE,9,45-49 Years,45-49 Years
ALCDRUG,0,,
ALCDRUG,1,Alcohol Only,Alcohol Only
ALCDRUG,2,Other Drugs Only,Other Drugs Only
ALCDRUG,3,Alcohol And Other Drugs,Alcohol And Other Drugs
ALCFLG,0,Substance Not Reported,Substance Not Reported
ALCFLG,1,Substance Reported,Substance Reported
AMPHFLG,0,Substance Not Reported,Substance Not Reported
AMPHFLG,1,Substance Reported,Substance Reported
ARRESTS,-9,Missing/Unknown/Not Collected/Invalid,Missing/Unknown/Not Collected/Invalid
ARRESTS,0,,
ARRESTS,1,Once,Once
ARRESTS,2,Two Or More Times,Two Or More Times
BARBFLG,0,Substance Not Reported,Substance Not Reported
BARBFLG,1,Substance Reported,Substance Reported
BENZFLG,0,Substance Not Reported,Substance Not Reported
BENZFLG,1,Substance Reported,Substance Reported
CASEID,,,
COKEFLG,0,Substance Not Reported,Substance Not Reported
COKEFLG,1,Substance Reported,Substance Reported
DAYWAIT,-9,Missing/Unknown/Not Collected/Invalid,Missing/Unknown/Not Collected/Invalid
DAYWAIT,0,0,0
DAYWAIT,1,1-7,1-7
DAYWAIT,2,8-14,8-14
